"C1.sm.bam"	"C2.sm.bam"	"C3.sm.bam"	"C4.sm.bam"	"C5.sm.bam"	"T1.sm.bam"	"T2.sm.bam"	"T3.sm.bam"	"T4.sm.bam"	"T5.sm.bam"
"Solyc01g007710.2"	8	2	4	3	4	10	14	6	4	6
"Solyc01g007730.2"	11	3	2	12	3	4	29	4	5	25
"Solyc01g007740.2"	0	1	0	0	0	0	0	0	0	0
"Solyc01g007750.2"	0	0	0	0	1	0	0	0	0	0
"Solyc01g007760.2"	1	0	0	1	0	0	0	0	0	0
"Solyc01g007780.2"	0	0	1	1	1	0	0	1	0	0
"Solyc01g007790.2"	8	10	2	11	8	8	3	8	6	12
"Solyc01g007820.1"	1	2	0	1	1	1	0	0	0	0
"Solyc01g007830.1"	0	0	0	1	0	0	0	0	0	0
"Solyc01g007840.2"	35	23	20	48	39	32	23	27	28	41
"Solyc01g007850.2"	0	0	0	1	0	0	0	0	0	0
"Solyc01g007860.2"	243	206	170	328	226	220	99	315	265	484
"Solyc01g007880.2"	23	19	12	41	25	14	4	8	2	7
"Solyc01g007900.2"	424	330	255	502	274	337	65	321	158	398
"Solyc01g007910.2"	184	207	140	335	222	111	54	131	74	191
"Solyc01g007920.2"	2	1	0	1	1	0	0	0	0	1
"Solyc01g007930.2"	0	0	0	0	0	0	0	0	0	1
"Solyc01g007950.2"	49263	46836	37703	79526	46869	37233	3558	35411	26420	45318
"Solyc01g007970.1"	0	0	1	0	0	0	0	0	0	0
"Solyc01g008000.2"	2922	2697	1940	3961	2564	2491	947	2432	1842	3426
"Solyc01g008010.2"	52	58	35	81	77	38	5	16	20	23
"Solyc01g008020.2"	137	117	107	197	124	124	18	161	47	174
"Solyc01g008030.2"	0	0	0	0	0	1	0	0	0	0
"Solyc01g008040.1"	136	141	117	187	125	117	49	194	129	236
"Solyc01g008050.2"	2044	1552	1347	2608	1799	1301	680	1857	998	2027
"Solyc01g008060.2"	24	17	13	19	17	19	1	12	6	19
"Solyc01g008070.2"	1	0	0	2	2	0	0	0	1	0
"Solyc01g008080.2"	77	99	63	116	76	144	155	123	129	203
"Solyc01g008090.2"	0	0	1	1	0	1	0	0	1	0
"Solyc01g008100.2"	35	19	10	38	34	15	6	13	16	27
"Solyc01g008110.2"	120	109	67	144	87	99	24	76	55	113
"Solyc01g008120.2"	46	67	38	80	79	16	3	13	7	11
"Solyc01g008130.2"	40	23	23	53	41	10	2	9	5	20
"Solyc01g008140.2"	5	6	3	11	4	0	0	1	2	1
"Solyc01g008160.2"	0	0	1	0	0	0	0	0	0	0
"Solyc01g008170.2"	301	322	198	432	261	291	26	139	65	161
"Solyc01g008180.2"	1	0	0	0	0	0	0	0	0	0
"Solyc01g008190.2"	10	7	10	24	14	3	1	7	8	12
"Solyc01g008200.2"	7	3	4	15	8	12	0	3	5	11
"Solyc01g008210.2"	6	6	2	5	0	2	0	0	2	3
"Solyc01g008220.2"	2	4	1	5	3	1	1	0	0	0
"Solyc01g008240.2"	155001	135649	109840	224157	125935	97985	12213	121389	60878	129826
"Solyc01g008250.2"	14	17	6	28	14	22	26	29	13	29
"Solyc01g008260.2"	0	2	4	3	2	1	5	6	1	3
"Solyc01g008270.2"	3	3	5	3	3	2	0	1	4	1
"Solyc01g008290.2"	3	0	1	0	1	0	0	0	0	1
"Solyc01g008300.1"	0	0	0	0	0	0	3	0	0	0
"Solyc01g008310.2"	24	22	13	26	17	7	2	13	5	16
"Solyc01g008320.2"	136	168	54	217	133	92	16	36	24	48
"Solyc01g008330.2"	19	7	6	9	9	3	0	2	0	8
"Solyc01g008340.2"	0	1	1	3	0	1	0	1	0	0
"Solyc01g008360.2"	4	3	2	3	5	2	4	3	3	5
"Solyc01g008370.2"	25	21	10	44	12	13	0	15	14	20
"Solyc01g008420.2"	271	279	184	386	234	160	30	175	104	299
"Solyc01g008430.1"	18	14	9	21	10	14	1	13	11	14
"Solyc01g008440.2"	5375	7992	4159	9757	6073	3667	540	1862	1515	1867
"Solyc01g008460.2"	40	22	31	42	24	29	21	34	30	44
"Solyc01g008470.2"	56	53	44	113	62	31	3	45	46	67
"Solyc01g008480.2"	1	1	0	2	1	0	0	0	0	0
"Solyc01g008490.2"	0	0	0	1	0	0	0	1	0	0
"Solyc01g008520.2"	2	3	3	10	2	3	3	2	3	3
"Solyc01g008530.2"	99	119	92	179	109	70	46	159	114	299
"Solyc01g008550.2"	15	1	2	6	1	4	0	6	2	10
"Solyc01g008600.2"	2	2	1	0	0	1	0	0	0	0
"Solyc01g008610.2"	0	0	2	2	0	0	0	0	0	0
"Solyc01g008620.2"	1	0	0	1	1	1	0	0	0	0
"Solyc01g008640.2"	1	0	0	1	0	0	0	1	0	0
"Solyc01g008650.2"	1	0	0	0	4	1	3	1	1	3
"Solyc01g008670.2"	39	21	20	52	26	23	11	22	15	27
"Solyc01g008680.2"	738	670	490	939	661	578	83	580	453	610
"Solyc01g008700.2"	6	3	3	11	2	5	0	6	2	12
"Solyc01g008720.1"	0	0	0	0	1	0	0	1	0	1
"Solyc01g008730.2"	0	2	0	0	0	0	0	1	0	0
"Solyc01g008740.1"	542	537	386	766	492	320	62	346	167	297
"Solyc01g008750.1"	0	1	0	0	0	0	0	0	0	0
"Solyc01g008760.2"	4	5	3	11	5	3	2	5	1	8
"Solyc01g008770.2"	9	8	4	2	4	5	2	8	0	3
"Solyc01g008780.2"	2	0	0	2	1	0	0	0	1	1
"Solyc01g008790.2"	0	0	1	0	0	3	0	1	1	0
"Solyc01g008800.1"	0	1	1	2	1	1	0	0	0	0
"Solyc01g008810.2"	271	252	196	396	257	255	194	295	228	424
"Solyc01g008820.2"	253	234	178	416	201	215	55	289	184	360
"Solyc01g008840.2"	46	36	35	83	27	31	6	29	17	45
"Solyc01g008850.2"	2	3	1	4	0	2	1	1	0	1
"Solyc01g008880.1"	1	2	0	1	0	1	0	1	0	2
"Solyc01g008890.2"	18	13	10	11	12	8	4	9	7	6
"Solyc01g008900.2"	0	0	0	1	0	0	0	0	0	0
